REFERENCE	 DEGRADED	 PESQMOS	 MOSLQO	 SAMPLE_FREQ	 MODE
../data/speech/test/clean/FMGD0_SI934.wav	 ../spectrum/speech/test/noisy/destroyerops/5dB/FDHC0_SX209_sample_spectrum_spectrum.wav	 0.845	 1.128	 16000	nb16000
../data/speech/test/clean/FMGD0_SI2194.wav	 ../spectrum/speech/test/noisy/destroyerops/5dB/FMGD0_SX34_sample_spectrum_spectrum.wav	 0.257	 1.054	 16000	nb16000
../data/speech/test/clean/FDHC0_SI929.wav	 ../spectrum/speech/test/noisy/destroyerops/5dB/MGRT0_SI820_sample_spectrum_spectrum.wav	 0.954	 1.150	 16000	nb16000
../data/speech/test/clean/FELC0_SI1386.wav	 ../spectrum/speech/test/noisy/destroyerops/5dB/FDHC0_SI2189_sample_spectrum_spectrum.wav	 0.757	 1.113	 16000	nb16000
../data/speech/test/clean/MGRT0_SI2080.wav	 ../spectrum/speech/test/noisy/destroyerops/5dB/FMGD0_SI1564_sample_spectrum_spectrum.wav	 -0.130	 1.030	 16000	nb16000
../data/speech/test/clean/MCMJ0_SX194.wav	 ../spectrum/speech/test/noisy/destroyerops/5dB/FMGD0_SX214_sample_spectrum_spectrum.wav	 0.117	 1.044	 16000	nb16000
../data/speech/test/clean/FMGD0_SX304.wav	 ../spectrum/speech/test/noisy/destroyerops/5dB/MDAB0_SX49_sample_spectrum_spectrum.wav	 0.845	 1.128	 16000	nb16000
../data/speech/test/clean/FDHC0_SX209.wav	 ../spectrum/speech/test/noisy/destroyerops/5dB/FDHC0_SX299_sample_spectrum_spectrum.wav	 -0.024	 1.035	 16000	nb16000
../data/speech/test/clean/MDAB0_SX229.wav	 ../spectrum/speech/test/noisy/destroyerops/5dB/MGRT0_SI2080_sample_spectrum_spectrum.wav	 0.260	 1.054	 16000	nb16000
../data/speech/test/clean/FMGD0_SX124.wav	 ../spectrum/speech/test/noisy/destroyerops/5dB/FMGD0_SI934_sample_spectrum_spectrum.wav	 1.180	 1.208	 16000	nb16000
../data/speech/test/clean/FELC0_SX396.wav	 ../spectrum/speech/test/noisy/destroyerops/5dB/FMGD0_SX124_sample_spectrum_spectrum.wav	 0.830	 1.126	 16000	nb16000
../data/speech/test/clean/FELC0_SX36.wav	 ../spectrum/speech/test/noisy/destroyerops/5dB/MGRT0_SX280_sample_spectrum_spectrum.wav	 2.163	 1.773	 16000	nb16000
../data/speech/test/clean/FMGD0_SI1564.wav	 ../spectrum/speech/test/noisy/destroyerops/5dB/MGRT0_SX10_sample_spectrum_spectrum.wav	 1.505	 1.328	 16000	nb16000
../data/speech/test/clean/FDHC0_SX29.wav	 ../spectrum/speech/test/noisy/destroyerops/5dB/FDHC0_SI929_sample_spectrum_spectrum.wav	 1.264	 1.234	 16000	nb16000
../data/speech/test/clean/MGRT0_SX100.wav	 ../spectrum/speech/test/noisy/destroyerops/5dB/MGRT0_SX190_sample_spectrum_spectrum.wav	 2.009	 1.639	 16000	nb16000
../data/speech/test/clean/MGRT0_SI820.wav	 ../spectrum/speech/test/noisy/destroyerops/5dB/MGRT0_SX100_sample_spectrum_spectrum.wav	 2.245	 1.852	 16000	nb16000
../data/speech/test/clean/MCMJ0_SX284.wav	 ../spectrum/speech/test/noisy/destroyerops/5dB/MCMJ0_SX284_sample_spectrum_spectrum.wav	 2.210	 1.817	 16000	nb16000
../data/speech/test/clean/MGRT0_SX280.wav	 ../spectrum/speech/test/noisy/destroyerops/5dB/MGRT0_SI1450_sample_spectrum_spectrum.wav	 1.045	 1.172	 16000	nb16000
../data/speech/test/clean/MGRT0_SX370.wav	 ../spectrum/speech/test/noisy/destroyerops/5dB/FELC0_SI1386_sample_spectrum_spectrum.wav	 0.875	 1.134	 16000	nb16000
../data/speech/test/clean/MDAB0_SI1039.wav	 ../spectrum/speech/test/noisy/destroyerops/5dB/FELC0_SX126_sample_spectrum_spectrum.wav	 1.466	 1.311	 16000	nb16000
../data/speech/test/clean/FDHC0_SX299.wav	 ../spectrum/speech/test/noisy/destroyerops/5dB/FMGD0_SX394_sample_spectrum_spectrum.wav	 0.314	 1.059	 16000	nb16000
../data/speech/test/clean/FDHC0_SI2189.wav	 ../spectrum/speech/test/noisy/destroyerops/5dB/MCMJ0_SX14_sample_spectrum_spectrum.wav	 0.306	 1.058	 16000	nb16000
../data/speech/test/clean/MDAB0_SI2299.wav	 ../spectrum/speech/test/noisy/destroyerops/5dB/FDHC0_SI1559_sample_spectrum_spectrum.wav	 0.567	 1.085	 16000	nb16000
../data/speech/test/clean/MCMJ0_SX14.wav	 ../spectrum/speech/test/noisy/destroyerops/5dB/MDAB0_SX229_sample_spectrum_spectrum.wav	 0.687	 1.102	 16000	nb16000
../data/speech/test/clean/MDAB0_SX139.wav	 ../spectrum/speech/test/noisy/destroyerops/5dB/MCMJ0_SX374_sample_spectrum_spectrum.wav	 0.641	 1.095	 16000	nb16000
